nom_joueur,numero,poste,taille,poids,age,date_naissance,club_actuel,club_precedent,nationalite,selections,points_totaux,matches_joues,victoires,defaites,ratio_victoires,derniere_selection,competitions,titres,distinctions,bio_courte,url_cv_image,url_page_principale,urls_stats,date_extraction
Barthélémy Chinenyeze,1,,,,,,,,France,,,,,,,,Championnats Nationaux | Championnats Régionaux | Championnats Départementaux | Coupes de France Seniors | Coupes de France Jeunes | Championnat de France | Coupe de France de Beach Volley | COUPE DE FRANCE COMPET'LIB | COUPE DE FRANCE MASTERS,,,FFVolley Partenaires CONSULTATIONS Emploi / Appel à candidature PSF - Projets Sportifs Fédéraux Labels Clubs Equipements et Homologations Lutte contre les Maltraitances Agents Sportifs Paris sportifs,/data/Files/2025%20-%20EDF%20MASCULINE%20VOLLEY/CV%20JOUEURS/1%20Barth%C3%A9l%C3%A9my%20Chinenyeze.png,http://www.ffvb.org/index.php?lvlid=384&dsgtypid=37&artid=1217&pos=0,http://www.ffvb.org/211-37-1-Projet-de-Performance-Federal | http://www.ffvb.org/350-37-1-STATISTIQUES | http://www.ffvb.org/148-37-1-Palmares | http://www.ffvb.org/283-37-1-Palmares | http://www.ffvb.org/284-37-1-Palmares,2025-06-16T12:05:14.374776
Barthélémy Chinenyeze,1,,,,,,,,France,,,,,,,,Championnats Nationaux | Championnats Régionaux | Championnats Départementaux | Coupes de France Seniors | Coupes de France Jeunes | Championnat de France | Coupe de France de Beach Volley | COUPE DE FRANCE COMPET'LIB | COUPE DE FRANCE MASTERS,,,FFVolley Partenaires CONSULTATIONS Emploi / Appel à candidature PSF - Projets Sportifs Fédéraux Labels Clubs Equipements et Homologations Lutte contre les Maltraitances Agents Sportifs Paris sportifs,/data/Files/2025%20-%20EDF%20MASCULINE%20VOLLEY/CV%20JOUEURS/1%20Barth%C3%A9l%C3%A9my%20Chinenyeze.png,http://www.ffvb.org/index.php?lvlid=384&dsgtypid=37&artid=1217&pos=0,http://www.ffvb.org/211-37-1-Projet-de-Performance-Federal | http://www.ffvb.org/350-37-1-STATISTIQUES | http://www.ffvb.org/148-37-1-Palmares | http://www.ffvb.org/283-37-1-Palmares | http://www.ffvb.org/284-37-1-Palmares,2025-06-16T12:05:14.374776
Barthélémy Chinenyeze,1,,,,,,,,France,,,,,,,,Championnats Nationaux | Championnats Régionaux | Championnats Départementaux | Coupes de France Seniors | Coupes de France Jeunes | Championnat de France | Coupe de France de Beach Volley | COUPE DE FRANCE COMPET'LIB | COUPE DE FRANCE MASTERS,,,FFVolley Partenaires CONSULTATIONS Emploi / Appel à candidature PSF - Projets Sportifs Fédéraux Labels Clubs Equipements et Homologations Lutte contre les Maltraitances Agents Sportifs Paris sportifs,/data/Files/2025%20-%20EDF%20MASCULINE%20VOLLEY/CV%20JOUEURS/1%20Barth%C3%A9l%C3%A9my%20Chinenyeze.png,http://www.ffvb.org/index.php?lvlid=384&dsgtypid=37&artid=1234&pos=0,http://www.ffvb.org/211-37-1-Projet-de-Performance-Federal | http://www.ffvb.org/350-37-1-STATISTIQUES | http://www.ffvb.org/148-37-1-Palmares | http://www.ffvb.org/283-37-1-Palmares | http://www.ffvb.org/284-37-1-Palmares,2025-06-16T12:05:59.405569
Benjamin Toniutti,6,,,,,,,,France,,,,,,,,Championnats Nationaux | Championnats Régionaux | Championnats Départementaux | Coupes de France Seniors | Coupes de France Jeunes | Championnat de France | Coupe de France de Beach Volley | COUPE DE FRANCE COMPET'LIB | COUPE DE FRANCE MASTERS,,,FFVolley Partenaires CONSULTATIONS Emploi / Appel à candidature PSF - Projets Sportifs Fédéraux Labels Clubs Equipements et Homologations Lutte contre les Maltraitances Agents Sportifs Paris sportifs,/data/Files/2025%20-%20EDF%20MASCULINE%20VOLLEY/CV%20JOUEURS/6%20Benjamin%20Toniutti.png,http://www.ffvb.org/index.php?lvlid=384&dsgtypid=37&artid=1233&pos=3,http://www.ffvb.org/211-37-1-Projet-de-Performance-Federal | http://www.ffvb.org/350-37-1-STATISTIQUES | http://www.ffvb.org/148-37-1-Palmares | http://www.ffvb.org/283-37-1-Palmares | http://www.ffvb.org/284-37-1-Palmares,2025-06-16T12:06:03.237572
Jean Patry,4,,,,,,,,France,,,,,,,,Championnats Nationaux | Championnats Régionaux | Championnats Départementaux | Coupes de France Seniors | Coupes de France Jeunes | Championnat de France | Coupe de France de Beach Volley | COUPE DE FRANCE COMPET'LIB | COUPE DE FRANCE MASTERS,,,FFVolley Partenaires CONSULTATIONS Emploi / Appel à candidature PSF - Projets Sportifs Fédéraux Labels Clubs Equipements et Homologations Lutte contre les Maltraitances Agents Sportifs Paris sportifs,/data/Files/2025%20-%20EDF%20MASCULINE%20VOLLEY/CV%20JOUEURS/4%20Jean%20Patry.png,http://www.ffvb.org/index.php?lvlid=384&dsgtypid=37&artid=1233&pos=2,http://www.ffvb.org/211-37-1-Projet-de-Performance-Federal | http://www.ffvb.org/350-37-1-STATISTIQUES | http://www.ffvb.org/148-37-1-Palmares | http://www.ffvb.org/283-37-1-Palmares | http://www.ffvb.org/284-37-1-Palmares,2025-06-16T12:06:06.061917
Jenia Grebennikov,2,,,,,,,,France,,,,,,,,Championnats Nationaux | Championnats Régionaux | Championnats Départementaux | Coupes de France Seniors | Coupes de France Jeunes | Championnat de France | Coupe de France de Beach Volley | COUPE DE FRANCE COMPET'LIB | COUPE DE FRANCE MASTERS,,,FFVolley Partenaires CONSULTATIONS Emploi / Appel à candidature PSF - Projets Sportifs Fédéraux Labels Clubs Equipements et Homologations Lutte contre les Maltraitances Agents Sportifs Paris sportifs,/data/Files/2025%20-%20EDF%20MASCULINE%20VOLLEY/CV%20JOUEURS/2%20Jenia%20Grebennikov.png,http://www.ffvb.org/index.php?lvlid=384&dsgtypid=37&artid=1233&pos=1,http://www.ffvb.org/211-37-1-Projet-de-Performance-Federal | http://www.ffvb.org/350-37-1-STATISTIQUES | http://www.ffvb.org/148-37-1-Palmares | http://www.ffvb.org/283-37-1-Palmares | http://www.ffvb.org/284-37-1-Palmares,2025-06-16T12:06:08.360223
Barthélémy Chinenyeze,1,,,,,,,,France,,,,,,,,Championnats Nationaux | Championnats Régionaux | Championnats Départementaux | Coupes de France Seniors | Coupes de France Jeunes | Championnat de France | Coupe de France de Beach Volley | COUPE DE FRANCE COMPET'LIB | COUPE DE FRANCE MASTERS,,,FFVolley Partenaires CONSULTATIONS Emploi / Appel à candidature PSF - Projets Sportifs Fédéraux Labels Clubs Equipements et Homologations Lutte contre les Maltraitances Agents Sportifs Paris sportifs,/data/Files/2025%20-%20EDF%20MASCULINE%20VOLLEY/CV%20JOUEURS/1%20Barth%C3%A9l%C3%A9my%20Chinenyeze.png,http://www.ffvb.org/index.php?lvlid=384&dsgtypid=37&artid=1233&pos=0,http://www.ffvb.org/211-37-1-Projet-de-Performance-Federal | http://www.ffvb.org/350-37-1-STATISTIQUES | http://www.ffvb.org/148-37-1-Palmares | http://www.ffvb.org/283-37-1-Palmares | http://www.ffvb.org/284-37-1-Palmares,2025-06-16T12:06:11.310368
Kevin Tillie,7,,,,,,,,France,,,,,,,,Championnats Nationaux | Championnats Régionaux | Championnats Départementaux | Coupes de France Seniors | Coupes de France Jeunes | Championnat de France | Coupe de France de Beach Volley | COUPE DE FRANCE COMPET'LIB | COUPE DE FRANCE MASTERS,,,FFVolley Partenaires CONSULTATIONS Emploi / Appel à candidature PSF - Projets Sportifs Fédéraux Labels Clubs Equipements et Homologations Lutte contre les Maltraitances Agents Sportifs Paris sportifs,/data/Files/2025%20-%20EDF%20MASCULINE%20VOLLEY/CV%20JOUEURS/7%20Kevin%20Tillie.png,http://www.ffvb.org/index.php?lvlid=384&dsgtypid=37&artid=1232&pos=4,http://www.ffvb.org/211-37-1-Projet-de-Performance-Federal | http://www.ffvb.org/350-37-1-STATISTIQUES | http://www.ffvb.org/148-37-1-Palmares | http://www.ffvb.org/283-37-1-Palmares | http://www.ffvb.org/284-37-1-Palmares,2025-06-16T12:06:14.108683
Benjamin Toniutti,6,,,,,,,,France,,,,,,,,Championnats Nationaux | Championnats Régionaux | Championnats Départementaux | Coupes de France Seniors | Coupes de France Jeunes | Championnat de France | Coupe de France de Beach Volley | COUPE DE FRANCE COMPET'LIB | COUPE DE FRANCE MASTERS,,,FFVolley Partenaires CONSULTATIONS Emploi / Appel à candidature PSF - Projets Sportifs Fédéraux Labels Clubs Equipements et Homologations Lutte contre les Maltraitances Agents Sportifs Paris sportifs,/data/Files/2025%20-%20EDF%20MASCULINE%20VOLLEY/CV%20JOUEURS/6%20Benjamin%20Toniutti.png,http://www.ffvb.org/index.php?lvlid=384&dsgtypid=37&artid=1232&pos=3,http://www.ffvb.org/211-37-1-Projet-de-Performance-Federal | http://www.ffvb.org/350-37-1-STATISTIQUES | http://www.ffvb.org/148-37-1-Palmares | http://www.ffvb.org/283-37-1-Palmares | http://www.ffvb.org/284-37-1-Palmares,2025-06-16T12:06:16.614229
Jean Patry,4,,,,,,,,France,,,,,,,,Championnats Nationaux | Championnats Régionaux | Championnats Départementaux | Coupes de France Seniors | Coupes de France Jeunes | Championnat de France | Coupe de France de Beach Volley | COUPE DE FRANCE COMPET'LIB | COUPE DE FRANCE MASTERS,,,FFVolley Partenaires CONSULTATIONS Emploi / Appel à candidature PSF - Projets Sportifs Fédéraux Labels Clubs Equipements et Homologations Lutte contre les Maltraitances Agents Sportifs Paris sportifs,/data/Files/2025%20-%20EDF%20MASCULINE%20VOLLEY/CV%20JOUEURS/4%20Jean%20Patry.png,http://www.ffvb.org/index.php?lvlid=384&dsgtypid=37&artid=1232&pos=2,http://www.ffvb.org/211-37-1-Projet-de-Performance-Federal | http://www.ffvb.org/350-37-1-STATISTIQUES | http://www.ffvb.org/148-37-1-Palmares | http://www.ffvb.org/283-37-1-Palmares | http://www.ffvb.org/284-37-1-Palmares,2025-06-16T12:06:18.908786
Jenia Grebennikov,2,,,,,,,,France,,,,,,,,Championnats Nationaux | Championnats Régionaux | Championnats Départementaux | Coupes de France Seniors | Coupes de France Jeunes | Championnat de France | Coupe de France de Beach Volley | COUPE DE FRANCE COMPET'LIB | COUPE DE FRANCE MASTERS,,,FFVolley Partenaires CONSULTATIONS Emploi / Appel à candidature PSF - Projets Sportifs Fédéraux Labels Clubs Equipements et Homologations Lutte contre les Maltraitances Agents Sportifs Paris sportifs,/data/Files/2025%20-%20EDF%20MASCULINE%20VOLLEY/CV%20JOUEURS/2%20Jenia%20Grebennikov.png,http://www.ffvb.org/index.php?lvlid=384&dsgtypid=37&artid=1232&pos=1,http://www.ffvb.org/211-37-1-Projet-de-Performance-Federal | http://www.ffvb.org/350-37-1-STATISTIQUES | http://www.ffvb.org/148-37-1-Palmares | http://www.ffvb.org/283-37-1-Palmares | http://www.ffvb.org/284-37-1-Palmares,2025-06-16T12:06:22.007921
