nom_joueur,numero,poste,taille,poids,age,naissance,club,selections,matches_totaux,points_marques,victoires,url_cv_image,completeness_score,raw_ocr_text,extraction_method,date_extraction
Kevin Tillie,7,,,,,,,,,,,/data/Files/2025%20-%20EDF%20MASCULINE%20VOLLEY/CV%20JOUEURS/7%20Kevin%20Tillie.png,25.0,,OCR,2025-06-16T11:47:01.346038
Kevin Tillie,7,,,,,,,,,,,/data/Files/2025%20-%20EDF%20MASCULINE%20VOLLEY/CV%20JOUEURS/7%20Kevin%20Tillie.png,25.0,,OCR,2025-06-16T11:47:04.962414
Trevor Clevenot,17,,,,,,,,,,,/data/Files/2025%20-%20EDF%20MASCULINE%20VOLLEY/CV%20JOUEURS/17%20Trevor%20Clevenot.png,25.0,,OCR,2025-06-16T11:47:08.865644
Trevor Clevenot,17,,,,,,,,,,,/data/Files/2025%20-%20EDF%20MASCULINE%20VOLLEY/CV%20JOUEURS/17%20Trevor%20Clevenot.png,25.0,,OCR,2025-06-16T11:47:12.468555
Théo Faure,21,,,,,,,,,,,/data/Files/2025%20-%20EDF%20MASCULINE%20VOLLEY/CV%20JOUEURS/21%20Th%C3%A9o%20Faure.png,25.0,,OCR,2025-06-16T11:47:16.719374
Théo Faure,21,,,,,,,,,,,/data/Files/2025%20-%20EDF%20MASCULINE%20VOLLEY/CV%20JOUEURS/21%20Th%C3%A9o%20Faure.png,25.0,,OCR,2025-06-16T11:47:21.225496
Quentin Jouffroy,25,,,,,,,,,,,/data/Files/2025%20-%20EDF%20MASCULINE%20VOLLEY/CV%20JOUEURS/25%20Quentin%20Jouffroy.png,25.0,,OCR,2025-06-16T11:47:25.713337
Théo Faure,21,,,,,,,,,,,/data/Files/2025%20-%20EDF%20MASCULINE%20VOLLEY/CV%20JOUEURS/21%20Th%C3%A9o%20Faure.png,25.0,,OCR,2025-06-16T11:47:29.868766
Quentin Jouffroy,25,,,,,,,,,,,/data/Files/2025%20-%20EDF%20MASCULINE%20VOLLEY/CV%20JOUEURS/25%20Quentin%20Jouffroy.png,25.0,,OCR,2025-06-16T11:47:34.416288
Quentin Jouffroy,25,,,,,,,,,,,/data/Files/2025%20-%20EDF%20MASCULINE%20VOLLEY/CV%20JOUEURS/25%20Quentin%20Jouffroy.png,25.0,,OCR,2025-06-16T11:47:38.922945
Quentin Jouffroy,25,,,,,,,,,,,/data/Files/2025%20-%20EDF%20MASCULINE%20VOLLEY/CV%20JOUEURS/25%20Quentin%20Jouffroy.png,25.0,,OCR,2025-06-16T11:47:42.974624
Théo Faure,21,,,,,,,,,,,/data/Files/2025%20-%20EDF%20MASCULINE%20VOLLEY/CV%20JOUEURS/21%20Th%C3%A9o%20Faure.png,25.0,,OCR,2025-06-16T11:47:46.402306
Timothee Carle,23,,,,,,,,,,,/data/Files/2025%20-%20EDF%20MASCULINE%20VOLLEY/CV%20JOUEURS/23%20Timothee%20Carle.png,25.0,,OCR,2025-06-16T11:47:49.884489
Trevor Clevenot,17,,,,,,,,,,,/data/Files/2025%20-%20EDF%20MASCULINE%20VOLLEY/CV%20JOUEURS/17%20Trevor%20Clevenot.png,25.0,,OCR,2025-06-16T11:47:54.453039
Timothee Carle,23,,,,,,,,,,,/data/Files/2025%20-%20EDF%20MASCULINE%20VOLLEY/CV%20JOUEURS/23%20Timothee%20Carle.png,25.0,,OCR,2025-06-16T11:47:58.840337
Timothee Carle,23,,,,,,,,,,,/data/Files/2025%20-%20EDF%20MASCULINE%20VOLLEY/CV%20JOUEURS/23%20Timothee%20Carle.png,25.0,,OCR,2025-06-16T11:48:03.322906
Timothee Carle,23,,,,,,,,,,,/data/Files/2025%20-%20EDF%20MASCULINE%20VOLLEY/CV%20JOUEURS/23%20Timothee%20Carle.png,25.0,,OCR,2025-06-16T11:48:07.839444
Trevor Clevenot,17,,,,,,,,,,,/data/Files/2025%20-%20EDF%20MASCULINE%20VOLLEY/CV%20JOUEURS/17%20Trevor%20Clevenot.png,25.0,,OCR,2025-06-16T11:48:12.338717
Yacine Louati,19,,,,,,,,,,,/data/Files/2025%20-%20EDF%20MASCULINE%20VOLLEY/CV%20JOUEURS/19%20Yacine%20Louati.png,25.0,,OCR,2025-06-16T11:48:17.140919
Kevin Tillie,7,,,,,,,,,,,/data/Files/2025%20-%20EDF%20MASCULINE%20VOLLEY/CV%20JOUEURS/7%20Kevin%20Tillie.png,25.0,,OCR,2025-06-16T11:48:21.354720
