nom_joueur,numero,poste,url_cv_image,url_page_joueur,type_page,source_url
Barthélémy Chinenyeze,1,,/data/Files/2025%20-%20EDF%20MASCULINE%20VOLLEY/CV%20JOUEURS/1%20Barth%C3%A9l%C3%A9my%20Chinenyeze.png,http://www.ffvb.org/index.php?lvlid=384&dsgtypid=37&artid=1217&pos=0,cv_image,http://www.ffvb.org/index.php?lvlid=384&dsgtypid=37&artid=1217&pos=0
Jenia Grebennikov,2,,/data/Files/2025%20-%20EDF%20MASCULINE%20VOLLEY/CV%20JOUEURS/2%20Jenia%20Grebennikov.png,http://www.ffvb.org/index.php?lvlid=384&dsgtypid=37&artid=1218&pos=2,cv_image,http://www.ffvb.org/index.php?lvlid=384&dsgtypid=37&artid=1218&pos=2
Jenia Grebennikov,2,,/data/Files/2025%20-%20EDF%20MASCULINE%20VOLLEY/CV%20JOUEURS/2%20Jenia%20Grebennikov.png,http://www.ffvb.org/index.php?lvlid=384&dsgtypid=37&artid=1218&pos=0,cv_image,http://www.ffvb.org/index.php?lvlid=384&dsgtypid=37&artid=1218&pos=0
Barthélémy Chinenyeze,1,,/data/Files/2025%20-%20EDF%20MASCULINE%20VOLLEY/CV%20JOUEURS/1%20Barth%C3%A9l%C3%A9my%20Chinenyeze.png,http://www.ffvb.org/index.php?lvlid=384&dsgtypid=37&artid=1217&pos=4,cv_image,http://www.ffvb.org/index.php?lvlid=384&dsgtypid=37&artid=1217&pos=4
Jean Patry,4,,/data/Files/2025%20-%20EDF%20MASCULINE%20VOLLEY/CV%20JOUEURS/4%20Jean%20Patry.png,http://www.ffvb.org/index.php?lvlid=384&dsgtypid=37&artid=1219&pos=2,cv_image,http://www.ffvb.org/index.php?lvlid=384&dsgtypid=37&artid=1219&pos=2
Barthélémy Chinenyeze,1,,/data/Files/2025%20-%20EDF%20MASCULINE%20VOLLEY/CV%20JOUEURS/1%20Barth%C3%A9l%C3%A9my%20Chinenyeze.png,http://www.ffvb.org/index.php?lvlid=384&dsgtypid=37&artid=1217&pos=0,cv_image,http://www.ffvb.org/index.php?lvlid=384&dsgtypid=37&artid=1217&pos=0
Barthélémy Chinenyeze,1,,/data/Files/2025%20-%20EDF%20MASCULINE%20VOLLEY/CV%20JOUEURS/1%20Barth%C3%A9l%C3%A9my%20Chinenyeze.png,http://www.ffvb.org/index.php?lvlid=384&dsgtypid=37&artid=1217&pos=3,cv_image,http://www.ffvb.org/index.php?lvlid=384&dsgtypid=37&artid=1217&pos=3
Benjamin Toniutti,6,,/data/Files/2025%20-%20EDF%20MASCULINE%20VOLLEY/CV%20JOUEURS/6%20Benjamin%20Toniutti.png,http://www.ffvb.org/index.php?lvlid=384&dsgtypid=37&artid=1220&pos=3,cv_image,http://www.ffvb.org/index.php?lvlid=384&dsgtypid=37&artid=1220&pos=3
Barthélémy Chinenyeze,1,,/data/Files/2025%20-%20EDF%20MASCULINE%20VOLLEY/CV%20JOUEURS/1%20Barth%C3%A9l%C3%A9my%20Chinenyeze.png,http://www.ffvb.org/index.php?lvlid=384&dsgtypid=37&artid=1217&pos=2,cv_image,http://www.ffvb.org/index.php?lvlid=384&dsgtypid=37&artid=1217&pos=2
Barthélémy Chinenyeze,1,,/data/Files/2025%20-%20EDF%20MASCULINE%20VOLLEY/CV%20JOUEURS/1%20Barth%C3%A9l%C3%A9my%20Chinenyeze.png,http://www.ffvb.org/index.php?lvlid=384&dsgtypid=37&artid=1217&pos=1,cv_image,http://www.ffvb.org/index.php?lvlid=384&dsgtypid=37&artid=1217&pos=1
Kevin Tillie,7,,/data/Files/2025%20-%20EDF%20MASCULINE%20VOLLEY/CV%20JOUEURS/7%20Kevin%20Tillie.png,http://www.ffvb.org/index.php?lvlid=384&dsgtypid=37&artid=1222&pos=4,cv_image,http://www.ffvb.org/index.php?lvlid=384&dsgtypid=37&artid=1222&pos=4
Earvin Ngapeth,9,,/data/Files/2025%20-%20EDF%20MASCULINE%20VOLLEY/CV%20JOUEURS/9%20Earvin%20Ngapeth.png,http://www.ffvb.org/index.php?lvlid=384&dsgtypid=37&artid=1221&pos=5,cv_image,http://www.ffvb.org/index.php?lvlid=384&dsgtypid=37&artid=1221&pos=5
Antoine Brizard,11,,/data/Files/2025%20-%20EDF%20MASCULINE%20VOLLEY/CV%20JOUEURS/11%20Antoine%20Brizard.png,http://www.ffvb.org/index.php?lvlid=384&dsgtypid=37&artid=1223&pos=6,cv_image,http://www.ffvb.org/index.php?lvlid=384&dsgtypid=37&artid=1223&pos=6
